Title	Assignees	Status	Start date	End date	Iteration	Hours Completed
Critical Design Review Presentation	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Nov 19, 2024	Dec 3, 2024	Sprint 6	
Conduct Reseach on Project options	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 6, 2024	Sep 9, 2024	Sprint 2	2
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 2, 2024	Sep 2, 2024	Sprint 1	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 9, 2024	Sep 9, 2024	Sprint 2	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 16, 2024	Sep 16, 2024	Sprint 2	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Done	Sep 23, 2024	Sep 23, 2024	Sprint 2	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Sep 30, 2024	Sep 30, 2024	Sprint 2	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Oct 7, 2024	Oct 7, 2024	Sprint 3	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Oct 14, 2024	Oct 14, 2024	Sprint 3	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Oct 21, 2024	Oct 21, 2024	Sprint 4	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Oct 28, 2024	Oct 28, 2024	Sprint 4	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Nov 4, 2024	Nov 4, 2024	Sprint 4	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Nov 11, 2024	Nov 11, 2024	Sprint 5	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Nov 18, 2024	Nov 18, 2024	Sprint 5	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Nov 25, 2024	Nov 25, 2024	Sprint 6	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Dec 2, 2024	Dec 2, 2024	Sprint 6	1
Team Meeting @ 5	aidancler24, carlywingness, DiegoG185593, JohnDT-MechE, m-colson, parkeramber	Todo	Dec 9, 2024	Dec 9, 2024	Sprint 6	1
Schedule a dry run for PDR	parkeramber	Todo	Sep 30, 2024	Sep 30, 2024	Sprint 2	
Break up work for PDR and CDR	parkeramber	Todo	Sep 30, 2024	Sep 30, 2024	Sprint 2	
Email sponsor ConOps and questions for review	parkeramber	Done	Sep 9, 2024	Sep 10, 2024	Sprint 2	0.25
Email professor about sponsor PDR date request for 10/29 to go first	parkeramber	Done	Sep 11, 2024	Sep 12, 2024	Sprint 2	0.25
Facilities/ Equipment in proposal	aidancler24	Done	Sep 16, 2024	Sep 21, 2024	Sprint 2	0.5
Subcontractors and consultants	m-colson	Done	Sep 16, 2024	Sep 21, 2024	Sprint 2	0.25
figure out scrimmage dates	aidancler24	Done	Sep 16, 2024	Sep 20, 2024	Sprint 2	0.25
SBD	carlywingness	Done	Sep 19, 2024	Sep 26, 2024	Sprint 2	2.5
Get signatures from Sponsors for Proposal	parkeramber	Done	Sep 23, 2024	Sep 24, 2024	Sprint 2	0.5
Get Jim's Signature for Proposal	parkeramber	Done	Sep 23, 2024	Sep 24, 2024	Sprint 2	0.25
Email Jake and Diego about Proposal draft	parkeramber	Done	Sep 20, 2024	Sep 20, 2024	Sprint 2	0.25
Set up Reoccurring zoom meeting link with sponsors	parkeramber	Done	Sep 23, 2024	Sep 23, 2024	Sprint 2	0.25
Camera angle placement drawing	carlywingness, JohnDT-MechE	Done	Sep 19, 2024	Sep 19, 2024	Sprint 2	1
